survey date,block ,row ,col ,pop ,mf ,rep ,height (cm) ,longest leaf (cm) ,herbivory (Y or N) ,wilting status ,notes 
5/15/2023,C2 ,32,D ,WL2 ,6,5,,,,,
5/15/2023,C2 ,33,C ,CP2 ,7,11,,,,,
5/15/2023,C2 ,33,D ,IH ,6,4,,,,,
5/15/2023,C2 ,34,C ,SC ,1,5,,,,,
5/15/2023,C2 ,34,D ,BH ,1,13,,,,,
5/15/2023,C2 ,35,C ,LVTR1 ,2,7,,,,,
5/15/2023,C2 ,35,D ,LV1 ,5,8,,,,,
5/15/2023,C2 ,36,C ,SQ1 ,6,6,,,,,
5/15/2023,C2 ,36,D ,CP2 ,2,8,,,,,
5/15/2023,C2 ,37,C ,YO8 ,5,10,,,,,
5/15/2023,C2 ,37,D ,CP3 ,7,7,,,,,
5/15/2023,C2 ,38,C ,YO7 ,5,12,,,,,
5/15/2023,C2 ,38,D ,WL2 ,2,5,,,,,
5/15/2023,C2 ,39,C ,YO8 ,3,1,,,,,
5/15/2023,C2 ,39,D ,YO8 ,4,7,,,,,
5/15/2023,C2 ,40,C ,DPR ,7,1,,,,,
5/15/2023,C2 ,40,D ,WR ,3,11,,,,,
5/15/2023,C2 ,41,C ,TM2 ,4,2,,,,,
5/15/2023,C2 ,41,D ,SQ3 ,3,13,,,,,
5/15/2023,C2 ,42,C ,CP3 ,6,2,,,,,
5/15/2023,C2 ,42,D ,YO11 ,7,5,,,,,
5/15/2023,C2 ,43,C ,SQ1 ,3,6,,,,,
5/15/2023,C2 ,43,D ,CP2 ,4,9,,,,,
5/15/2023,C2 ,44,C ,SQ1 ,4,11,,,,,
5/15/2023,C2 ,44,D ,WL2 ,7,9,,,,,
5/15/2023,E1 ,1,A ,LV1 ,5,12,,,,,
5/15/2023,E1 ,1,B ,DPR ,5,8,,,,,
5/15/2023,E1 ,2,A ,SQ1 ,5,3,,,,,
5/15/2023,E1 ,2,B ,WV ,5,1,,,,,
5/15/2023,E1 ,3,A ,CC ,6,8,,,,,
5/15/2023,E1 ,3,B ,WL2 ,5,13,,,,,
5/15/2023,E1 ,4,A ,CP2 ,2,13,,,,,
5/15/2023,E1 ,4,B ,IH ,2,12,,,,,
5/15/2023,E1 ,5,A ,SC ,1,11,,,,,
5/15/2023,E1 ,5,B ,WV ,3,9,,,,,
5/15/2023,E1 ,6,A ,IH ,6,9,,,,,
5/15/2023,E1 ,6,B ,DPR ,3,13,10.9,9,N ,N ,
5/15/2023,E1 ,7,A ,YO4 ,4,12,,,,D ,dead 
5/15/2023,E1 ,7,B ,WR ,2,11,,,,,
5/15/2023,E1 ,8,A ,YO4 ,3,6,9.1,4.7,Y ,N ,
5/15/2023,E1 ,8,B ,SC ,3,5,,,,,
5/15/2023,E1 ,9,A ,WV ,7,7,,,,,
5/15/2023,E1 ,9,B ,WL2 ,6,9,,,,,
5/15/2023,E1 ,10,A ,LVTR1 ,2,11,2.7,3.1,N ,N ,
5/15/2023,E1 ,10,B ,YO4 ,6,3,,,,,
5/15/2023,E1 ,11,A ,WL2 ,7,13,,,,,
5/15/2023,E1 ,11,B ,YO8 ,1,13,,,,,
5/15/2023,E1 ,12,A ,FR ,1,4,,,,,
5/15/2023,E1 ,12,B ,FR ,4,5,,,,,
5/15/2023,E1 ,13,A ,LV1 ,7,4,,,,,
5/15/2023,E1 ,13,B ,SQ1 ,2,1,,,,,
5/15/2023,E1 ,14,A ,SQ3 ,4,6,,,,,
5/15/2023,E1 ,14,B ,WV ,1,2,,,,,
5/15/2023,E1 ,15,A ,YO8 ,3,7,,,,,
5/15/2023,E1 ,15,B ,DPR ,7,6,,,,,
5/15/2023,E1 ,16,A ,SQ1 ,3,10,,,,,
5/15/2023,E1 ,16,B ,YO7 ,7,7,,,,,
5/15/2023,E1 ,17,A ,CP2 ,6,9,,,,,
5/15/2023,E1 ,17,B ,LVTR1 ,5,6,,,,D ,dead 
5/15/2023,E1 ,18,A ,YO8 ,6,1,,,,,
5/15/2023,E1 ,18,B ,IH ,5,3,,,,,
5/15/2023,E1 ,19,A ,SQ3 ,2,10,,,,,
5/15/2023,E1 ,19,B ,LV1 ,2,1,,,,,
5/15/2023,E1 ,20,A ,YO11 ,1,10,,,,,
5/15/2023,E1 ,20,B ,LVTR1 ,4,3,,,,,
5/15/2023,E1 ,21,A ,LV1 ,4,9,,,,,
5/15/2023,E1 ,21,B ,WV ,6,4,,,,,
5/15/2023,E1 ,22,A ,DPR ,2,9,,,,,
5/15/2023,E1 ,22,B ,CP3 ,7,11,,,,,
5/15/2023,E2 ,23,A ,WV ,3,11,,,,,
5/15/2023,E2 ,23,B ,YO8 ,6,4,,,,,
5/15/2023,E2 ,24,A ,LV3 ,3,5,,,,,
5/15/2023,E2 ,24,B ,SQ3 ,1,9,,,,,
5/15/2023,E2 ,25,A ,YO7 ,4,13,,,,,
5/15/2023,E2 ,25,B ,LVTR1 ,7,8,,,,,
5/15/2023,E2 ,26,A ,LV1 ,6,1,,,,,
5/15/2023,E2 ,26,B ,IH ,3,2,,,,,
5/15/2023,E2 ,27,A ,YO11 ,3,5,,,,,
5/15/2023,E2 ,27,B ,IH ,6,11,,,,,
5/15/2023,E2 ,28,A ,LVTR1 ,2,13,,,,,
5/15/2023,E2 ,28,B ,YO4 ,3,8,,,,,
5/15/2023,E2 ,29,A ,SQ2 ,2,5,,,,,
5/15/2023,E2 ,29,B ,CP3 ,5,4,,,,,
5/15/2023,E2 ,30,A ,LV1 ,4,11,,,,,
5/15/2023,E2 ,30,B ,CP2 ,5,4,,,,,
5/15/2023,E2 ,31,A ,IH ,5,5,,,,,
5/15/2023,E2 ,31,B ,SC ,1,13,,,,,
5/15/2023,E2 ,32,A ,YO8 ,3,9,,,,,
5/15/2023,E2 ,32,B ,SQ3 ,5,13,,,,,
5/15/2023,E2 ,33,A ,LVTR1 ,5,8,,,,,
5/15/2023,E2 ,33,B ,WR ,2,13,5.3,9.2,N ,W ,
5/15/2023,E2 ,34,A ,YO7 ,7,9,11.7,3.5,Y ,N ,
5/15/2023,E2 ,34,B ,LV1 ,2,3,,,,,
