block ,row ,col ,pop ,mf ,rep ,pheno ,diam mm ,height cm ,total branch ,herb dam ,wilt status ,longest leaf cm ,flowers ,fruits ,longest fruit cm ,repro_ branch ,notes , 
C2 ,42,C ,CP3 ,6,2,X ,,,,,,,,,,,,
C2 ,42,D ,YO11 ,7,5,X ,,,,,,,,,,,,
C2 ,43,C ,SQ1 ,3,6,X ,,,,,,,,,,,,
C2 ,43,D ,CP2 ,4,9,X ,,,,,,,,,,,,
C2 ,44,C ,SQ1 ,4,11,X ,,,,,,,,,,,,
C2 ,44,D ,WL2 ,7,9,X ,,,,,,,,,,,,
E1 ,1,A ,LV1 ,5,12,X ,,,,,,,,,,,,
E1 ,1,B ,DPR ,5,8,X ,,,,,,,,,,,,
E1 ,2,A ,SQ1 ,5,3,X ,,,,,,,,,,,,
E1 ,2,B ,WV ,5,1,X ,,,,,,,,,,,,
E1 ,3,A ,CC ,6,8,X ,,,,,,,,,,,,
E1 ,3,B ,WL2 ,5,13,X ,,,,,,,,,,,,
E1 ,4,A ,CP2 ,2,13,X,,,,,,,,,,,,
E1 ,4,B ,IH ,2,12,X ,,,,,,,,,,,,
E1 ,5,A ,SC ,1,11,X ,,,,,,,,,,,,
E1 ,5,B ,WV ,3,9,X ,,,,,,,,,,,,
E1 ,6,A ,IH ,6,9,X ,,,,,,,,,,,,
E1 ,6,B ,DPR ,3,13,V ,8.43,17.7,1,Y ,N,8.4,,,,,,
E1 ,7,A ,YO4 ,4,12,X ,,,,,,,,,,,,
E1 ,7,B ,WR ,2,11,X ,,,,,,,,,,,,
E1 ,8,A ,YO4 ,3,6,V ,8.9,10.6,5,N ,N ,4.3,,,,,,
E1 ,8,B ,SC ,3,5,X ,,,,,,,,,,,,
E1 ,9,A ,WV ,7,7,X ,,,,,,,,,,,,
E1 ,9,B ,WL2 ,6,9,X ,,,,,,,,,,,,
E1 ,10,A ,LVTR1 ,2,11,V ,2.41,2.5,1,Y ,W ,3.6,,,,,,
E1 ,10,B ,YO4 ,6,3,X ,,,,,,,,,,,,
E1 ,11,A ,WL2 ,7,13,X ,,,,,,,,,,,,
E1 ,11,B ,YO8 ,1,13,X ,,,,,,,,,,,,
E1 ,12,A ,FR ,1,4,X ,,,,,,,,,,,,
