block,row,col,pop,mf,rep,height (cm),longest leaf (cm),herbivory (Y or N),Notes
J1,10,B,SC,5,5,4.2,3.6,N,
J1,11,A,LV3,6,13,2.6,2.1,N,
J1,11,B,FR,2,11,3.6,3.4,N,Wilted
J1,12,A,WL2,5,8,-,-,-,Dead
J1,12,B,CC,4,4,4.6,3.4,Y,
J1,13,A,SQ1,7,17,3.4,4.3,Y,
J1,13,B,IH,6,13,6.4,5.8,Y,
J1,14,A,WL1,1,16,-,-,-,Dead
J1,14,B,IH,4,6,5.1,3,N,
J1,15,A,WL1,3,12,-,-,-,Dead
J1,15,B,YO4,1,1,-,-,-,Dead
J1,16,A,TM2,1,7,-,-,-,Dead
J1,16,B,SC,6,4,4,5.4,N,
J1,17,A,WL1,4,6,3.2,2.6,N,
J1,17,B,LV3,2,7,1.5,2,N,Root rot /Dead
J1,18,A,YO8,7,10,2.9,4.1,Y,
J1,18,B,VTR,6,2,2.2,2.1,Y,Root rot / Dead
J1,19,A,WL2,1,13,1.2,1.4,N,
J1,19,B,BH,3,11,4.8,4.8,N,
J1,20,A,LV3,1,12,1.9,1.4,N,
J1,20,B,BH,7,10,-,-,-,Dead
J1,21,A,YO11,3,13,4.2,1.8,N,
J1,21,B,WL1,6,16,3.4,2.9,N,
J2,22,A,WL1,7,22,2.7,2.8,N,
J2,22,B,buffer,,,,,,
J2,23,A,WL1,2,7,4.1,2.7,y,
J2,23,B,WL1,1,27,2.1,2.7,Y,
J2,24,A,LVTR,6,11,3.2,1.9,Y,
J2,24,B,IH,4,15,4.4,4,N,
